From Date,To Date,PM2.5
01/07/18 0:00,02/07/18 0:00,27.88
02/07/18 0:00,03/07/18 0:00,29.19
03/07/18 0:00,04/07/18 0:00,28.69
04/07/18 0:00,05/07/18 0:00,32.74
05/07/18 0:00,06/07/18 0:00,40.57
06/07/18 0:00,07/07/18 0:00,39.59
07/07/18 0:00,08/07/18 0:00,18.02
08/07/18 0:00,09/07/18 0:00,9.96
09/07/18 0:00,10/07/18 0:00,15.83
10/07/18 0:00,11/07/18 0:00,18.99
11/07/18 0:00,12/07/18 0:00,17.07
12/07/18 0:00,13/07/18 0:00,18.5
13/07/18 0:00,14/07/18 0:00,13.28
14/07/18 0:00,15/07/18 0:00,12.17
15/07/18 0:00,16/07/18 0:00,7.79
16/07/18 0:00,17/07/18 0:00,7.59
17/07/18 0:00,18/07/18 0:00,13.31
18/07/18 0:00,19/07/18 0:00,13.44
19/07/18 0:00,20/07/18 0:00,17.13
20/07/18 0:00,21/07/18 0:00,16.95
21/07/18 0:00,22/07/18 0:00,6.09
22/07/18 0:00,23/07/18 0:00,6.94
23/07/18 0:00,24/07/18 0:00,22.01
24/07/18 0:00,25/07/18 0:00,24.05
25/07/18 0:00,26/07/18 0:00,31.69
26/07/18 0:00,27/07/18 0:00,24.5
27/07/18 0:00,28/07/18 0:00,27.63
28/07/18 0:00,29/07/18 0:00,41.32
29/07/18 0:00,30/07/18 0:00,44.55
30/07/18 0:00,31/07/18 0:00,32.08
31/07/18 0:00,01/08/18 0:00,36.52
01/08/18 0:00,02/08/18 0:00,24.96
02/08/18 0:00,03/08/18 0:00,33.63
03/08/18 0:00,04/08/18 0:00,41.72
04/08/18 0:00,05/08/18 0:00,43
05/08/18 0:00,06/08/18 0:00,32.82
06/08/18 0:00,07/08/18 0:00,33.57
07/08/18 0:00,08/08/18 0:00,15.1
08/08/18 0:00,09/08/18 0:00,17.66
09/08/18 0:00,10/08/18 0:00,17.82
10/08/18 0:00,11/08/18 0:00,22.59
11/08/18 0:00,12/08/18 0:00,18.99
12/08/18 0:00,13/08/18 0:00,15.89
13/08/18 0:00,14/08/18 0:00,13.19
14/08/18 0:00,15/08/18 0:00,11.38
15/08/18 0:00,16/08/18 0:00,6.61
16/08/18 0:00,17/08/18 0:00,12.04
17/08/18 0:00,18/08/18 0:00,16.3
18/08/18 0:00,19/08/18 0:00,17.41
19/08/18 0:00,20/08/18 0:00,26.45
20/08/18 0:00,21/08/18 0:00,11.74
21/08/18 0:00,22/08/18 0:00,8.82
22/08/18 0:00,23/08/18 0:00,23.01
23/08/18 0:00,24/08/18 0:00,30.31
24/08/18 0:00,25/08/18 0:00,30.37
25/08/18 0:00,26/08/18 0:00,20.36
26/08/18 0:00,27/08/18 0:00,7.37
27/08/18 0:00,28/08/18 0:00,7.45
28/08/18 0:00,29/08/18 0:00,11.68
29/08/18 0:00,30/08/18 0:00,14.99
30/08/18 0:00,31/08/18 0:00,29.5
31/08/18 0:00,01/09/18 0:00,33.07
01/09/18 0:00,02/09/18 0:00,12.38
02/09/18 0:00,03/09/18 0:00,18.67
03/09/18 0:00,04/09/18 0:00,34.52
04/09/18 0:00,05/09/18 0:00,48.96
05/09/18 0:00,06/09/18 0:00,28.41
06/09/18 0:00,07/09/18 0:00,10.93
07/09/18 0:00,08/09/18 0:00,15.01
08/09/18 0:00,09/09/18 0:00,20.11
09/09/18 0:00,10/09/18 0:00,19.75
10/09/18 0:00,11/09/18 0:00,28.69
11/09/18 0:00,12/09/18 0:00,36.22
12/09/18 0:00,13/09/18 0:00,47.14
13/09/18 0:00,14/09/18 0:00,56.73
14/09/18 0:00,15/09/18 0:00,56.33
15/09/18 0:00,16/09/18 0:00,57.77
16/09/18 0:00,17/09/18 0:00,60.13
17/09/18 0:00,18/09/18 0:00,66.89
18/09/18 0:00,19/09/18 0:00,61.1
19/09/18 0:00,20/09/18 0:00,60.03
20/09/18 0:00,21/09/18 0:00,17.45
21/09/18 0:00,22/09/18 0:00,7.95
22/09/18 0:00,23/09/18 0:00,16.02
23/09/18 0:00,24/09/18 0:00,19.69
24/09/18 0:00,25/09/18 0:00,21.92
25/09/18 0:00,26/09/18 0:00,36.42
26/09/18 0:00,27/09/18 0:00,45.24
27/09/18 0:00,28/09/18 0:00,57.76
28/09/18 0:00,29/09/18 0:00,63.63
29/09/18 0:00,30/09/18 0:00,61.12
30/09/18 0:00,01/10/18 0:00,66.84
01/10/18 0:00,02/10/18 0:00,71.46
02/10/18 0:00,03/10/18 0:00,61.37
03/10/18 0:00,04/10/18 0:00,61.93
04/10/18 0:00,05/10/18 0:00,78.76
05/10/18 0:00,06/10/18 0:00,95.37
06/10/18 0:00,07/10/18 0:00,101.71
07/10/18 0:00,08/10/18 0:00,100.58
08/10/18 0:00,09/10/18 0:00,98.29
09/10/18 0:00,10/10/18 0:00,48.14
10/10/18 0:00,11/10/18 0:00,8.92
11/10/18 0:00,12/10/18 0:00,9.23
12/10/18 0:00,13/10/18 0:00,17.52
13/10/18 0:00,14/10/18 0:00,22.46
14/10/18 0:00,15/10/18 0:00,37.28
15/10/18 0:00,16/10/18 0:00,47.34
16/10/18 0:00,17/10/18 0:00,60.77
17/10/18 0:00,18/10/18 0:00,85.9
18/10/18 0:00,19/10/18 0:00,80.27
19/10/18 0:00,20/10/18 0:00,83.88
20/10/18 0:00,21/10/18 0:00,99.59
21/10/18 0:00,22/10/18 0:00,97.27
22/10/18 0:00,23/10/18 0:00,100.56
23/10/18 0:00,24/10/18 0:00,107.16
24/10/18 0:00,25/10/18 0:00,99.69
25/10/18 0:00,26/10/18 0:00,93.5
26/10/18 0:00,27/10/18 0:00,123.05
27/10/18 0:00,28/10/18 0:00,105.31
28/10/18 0:00,29/10/18 0:00,80.78
29/10/18 0:00,30/10/18 0:00,27.61
30/10/18 0:00,31/10/18 0:00,16.99
31/10/18 0:00,01/11/18 0:00,9.55
01/11/18 0:00,02/11/18 0:00,23.12
02/11/18 0:00,03/11/18 0:00,31.95
03/11/18 0:00,04/11/18 0:00,41.91
04/11/18 0:00,05/11/18 0:00,30.32
05/11/18 0:00,06/11/18 0:00,32.32
06/11/18 0:00,07/11/18 0:00,107.73
07/11/18 0:00,08/11/18 0:00,196.9
08/11/18 0:00,09/11/18 0:00,297.54
09/11/18 0:00,10/11/18 0:00,145.31
10/11/18 0:00,11/11/18 0:00,144.66
11/11/18 0:00,12/11/18 0:00,108.51
12/11/18 0:00,13/11/18 0:00,111.88
13/11/18 0:00,14/11/18 0:00,156.97
14/11/18 0:00,15/11/18 0:00,149.99
15/11/18 0:00,16/11/18 0:00,125.19
16/11/18 0:00,17/11/18 0:00,108.15
17/11/18 0:00,18/11/18 0:00,103.38
18/11/18 0:00,19/11/18 0:00,106.69
19/11/18 0:00,20/11/18 0:00,117.35
20/11/18 0:00,21/11/18 0:00,153.87
21/11/18 0:00,22/11/18 0:00,146.53
22/11/18 0:00,23/11/18 0:00,186.19
23/11/18 0:00,24/11/18 0:00,151.15
24/11/18 0:00,25/11/18 0:00,186.93
25/11/18 0:00,26/11/18 0:00,217.11
26/11/18 0:00,27/11/18 0:00,144.71
27/11/18 0:00,28/11/18 0:00,79.16
28/11/18 0:00,29/11/18 0:00,80.5
29/11/18 0:00,30/11/18 0:00,82.91
30/11/18 0:00,01/12/18 0:00,94.39
01/12/18 0:00,02/12/18 0:00,130.83
02/12/18 0:00,03/12/18 0:00,113.02
03/12/18 0:00,04/12/18 0:00,141.83
04/12/18 0:00,05/12/18 0:00,162.65
05/12/18 0:00,06/12/18 0:00,201.35
06/12/18 0:00,07/12/18 0:00,203.97
07/12/18 0:00,08/12/18 0:00,242.28
08/12/18 0:00,09/12/18 0:00,247.43
09/12/18 0:00,10/12/18 0:00,197.6
10/12/18 0:00,11/12/18 0:00,159.64
11/12/18 0:00,12/12/18 0:00,172.42
12/12/18 0:00,13/12/18 0:00,146.63
13/12/18 0:00,14/12/18 0:00,105.65
14/12/18 0:00,15/12/18 0:00,108.97
15/12/18 0:00,16/12/18 0:00,99.61
16/12/18 0:00,17/12/18 0:00,102.83
17/12/18 0:00,18/12/18 0:00,85.69
18/12/18 0:00,19/12/18 0:00,43.92
19/12/18 0:00,20/12/18 0:00,54.26
20/12/18 0:00,21/12/18 0:00,91.95
21/12/18 0:00,22/12/18 0:00,158.33
22/12/18 0:00,23/12/18 0:00,196.91
23/12/18 0:00,24/12/18 0:00,156.75
24/12/18 0:00,25/12/18 0:00,124.88
25/12/18 0:00,26/12/18 0:00,179.25
26/12/18 0:00,27/12/18 0:00,182.25
27/12/18 0:00,28/12/18 0:00,237.9
28/12/18 0:00,29/12/18 0:00,192.34
29/12/18 0:00,30/12/18 0:00,206.17
30/12/18 0:00,31/12/18 0:00,162.21
31/12/18 0:00,01/01/19 0:00,139.22
01/01/19 0:00,02/01/19 0:00,177.49
02/01/19 0:00,03/01/19 0:00,155.74
03/01/19 0:00,04/01/19 0:00,201.3
04/01/19 0:00,05/01/19 0:00,217.8
05/01/19 0:00,06/01/19 0:00,183.2
06/01/19 0:00,07/01/19 0:00,137.43
07/01/19 0:00,08/01/19 0:00,132.88
08/01/19 0:00,09/01/19 0:00,162.02
09/01/19 0:00,10/01/19 0:00,177.18
10/01/19 0:00,11/01/19 0:00,189.24
11/01/19 0:00,12/01/19 0:00,183.65
12/01/19 0:00,13/01/19 0:00,265.07
13/01/19 0:00,14/01/19 0:00,187.31
14/01/19 0:00,15/01/19 0:00,273.94
15/01/19 0:00,16/01/19 0:00,212.87
16/01/19 0:00,17/01/19 0:00,124.97
17/01/19 0:00,18/01/19 0:00,161.76
18/01/19 0:00,19/01/19 0:00,182.85
19/01/19 0:00,20/01/19 0:00,205.36
20/01/19 0:00,21/01/19 0:00,189.44
21/01/19 0:00,22/01/19 0:00,208.46
22/01/19 0:00,23/01/19 0:00,276.14
23/01/19 0:00,24/01/19 0:00,218.35
