T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
18.8,22.8,15.2,1019,73,2.6,1.5,1.9,86.34
17.7,21.8,13.5,1017.6,80,1.8,1.9,3.5,83.82
17.8,23.2,13.5,1016.7,73,1.9,1.1,3.5,78.08
21,26.5,14.1,1016.6,67,2.1,0.9,3.5,118.25
21,26.6,15.8,1014.2,74,2.6,0.7,3.5,118.82
20.5,24.2,17.7,1015.3,82,1.8,1.3,3.5,61.45
19.1,20.8,17.8,1016.3,79,1.8,1.3,5.4,54.9
19,23,16,1016.3,76,1.8,1.9,5.4,60.53
17.6,22.2,13.3,1013.2,72,2.6,0.4,1.9,98.09
17.6,23.5,12.7,1011.6,70,1.9,0.7,1.9,112.16
20,24.6,13.8,1011,77,1.6,0.7,1.9,138.46
20.7,25,15.6,1011.7,80,1.4,1.1,3.5,84.56
20.9,24.8,16.7,1012.6,79,1.3,0.4,3.5,85.31
18.9,22.6,15.6,1014.3,65,1.8,1.3,3.5,73.61
20.1,25,12.6,1011.5,71,1.6,1.9,3.5,84.92
21,26.2,16,1009.9,70,1.8,1.3,3.5,63.29
22.5,28.5,17.4,1012.3,65,3.4,0.2,1.9,67.64
23.5,27.2,19,1011.3,77,1.9,1.5,3.5,42.38
19.1,23.8,13.6,1015.2,69,2.4,1.3,3.5,54.65
20.7,25.6,14.9,1014.2,74,1.9,1.1,3.5,73.9
21.8,26.2,16.5,1014.4,77,2.6,0.7,1.9,81.61
19.2,24.4,13.8,1012.7,61,3.1,1.1,5.4,60.62
19.5,25.4,14.1,1012.6,56,3.2,1.9,3.5,70.89
19.7,25.6,14.1,1011.6,59,2.6,1.1,3.5,97.38
21.8,27.8,15.7,1011.4,54,2.6,0.7,3.5,103.11
22.3,26.2,17.6,1007.9,84,1.8,1.3,5.4,80.38
23.1,27.8,18,1009.3,59,2.7,1.1,1.9,66.54
21.7,23.6,19.5,1015.1,81,2.3,1.7,7.6,111.71
24.6,30.2,18.5,1016.2,70,3.1,0.2,1.9,114.98
24.2,30.6,19.9,1014.7,75,1.9,1.7,7.6,93.67
25.5,30.2,20.5,1014.8,61,2.7,1.9,11.1,81.49
25.4,30.8,20.4,1014,57,3.5,1.3,3.5,93.01
25.7,31.5,20.2,1014,63,3.1,0.7,1.9,94.1
25.7,30.8,20.2,1011.8,56,3.2,2,5.4,75.75
25.6,31.6,20.6,1010.6,56,5.1,1.3,3.5,81.13
26.2,33.3,20,1010.8,52,3.5,0.4,1.9,96.58
27.2,32.4,21.2,1009.7,52,3.5,1.3,3.5,82.16
27.2,33,21.2,1008.9,53,3.7,1.1,3.5,91.23
28.9,35,21.7,1006.7,46,3.7,2,3.5,81.31
29,34.8,23.7,1005.5,48,4,2.2,5.4,38.57
28.7,34,24.1,1005,62,4,5.4,9.4,34.92
29.5,34.6,25.1,1005.6,67,4,3.1,5.4,35.41
29.3,32.6,26,1006.2,76,4,6.3,9.4,35.74
29.3,32.2,27,1007.6,79,4,4.1,9.4,35.03
29.9,33.6,24.9,1008.8,70,4,2.8,5.4,42.35
29.8,32.8,26.8,1007.2,75,4,5.7,7.6,25.18
29.8,32.8,26.9,1007.2,75,4,6.7,9.4,29.41
29.4,32.8,27.6,1008.8,75,4,5.2,9.4,21.83
29.8,33.4,26.8,1008.1,75,4,7.8,14.8,20.57
29.8,34,26,1009.9,73,4,4.4,7.6,26.55
29.4,34.3,25.5,1008,71,4,6.5,9.4,19.77
29.8,33.9,26.4,1006.5,75,4,6.3,9.4,11.16
30.3,34.1,27.1,1003.4,75,4,7.4,11.1,14.24
31,35.4,27.7,1002,74,4,5.2,7.6,19.84
31.5,37.9,27.7,1002.2,72,4,4.6,9.4,39.5
30.6,34.3,27.5,1006.9,74,3.7,7.2,11.1,15.21
30.8,34.6,28.1,1006.4,73,4,5.4,9.4,18.71
30.6,34.4,27.7,1006.4,73,4,5.4,7.6,17.75
32.7,39.5,28.3,1004,69,4,5.4,9.4,29.46
32.1,37,28.7,1004.8,73,4,4.4,9.4,26.52
31.9,37,28,1004.5,72,4,4.4,9.4,28.36
29.4,34.7,22.8,1004,70,4,2.8,5.4,23
29.5,33.8,23.6,1004,75,4,2.8,3.5,18.44
27.6,29.7,25.6,1006.1,73,3.7,5.6,18.3,14.73
30.9,35.7,27.2,1005.1,67,4,1.1,3.5,29.55
30.6,35.3,27.2,1004.8,67,4,2.2,3.5,27.17
27.4,32.3,25.4,1005.2,86,4,3,7.6,7.85
30.1,34.2,25.2,1000.6,78,4,7.2,11.1,29.22
30.8,33.8,23.2,1001.1,76,4,9.6,14.8,21.91
30.9,34.2,28.4,1003,74,4,8.5,14.8,18.61
30.4,33,28.2,1003,81,4,4.8,9.4,13.92
31.6,35.7,27.5,1000.9,74,4,3.9,9.4,17.98
29.8,34.8,25.6,998.8,70,4,6.9,14.8,21.5
30.9,35.9,27.4,1003.3,68,4,1.5,5.4,27.52
29.6,37.2,26.2,1002.2,71,4,1.1,3.5,35.82
32,37.3,25.2,999.7,67,4,1.3,3.5,54.87
30.8,35.2,28,999.7,75,3.7,2.4,5.4,30.04
30.3,33.1,27.1,1000.5,77,4,1.9,3.5,39.18
30.4,34.5,27,1000.4,78,4,3,5.4,30.82
30.2,33.7,26.2,1000.4,82,4,3.5,7.6,33.84
31.8,35.4,29.2,1000.1,72,4,4.4,9.4,28.49
31.6,35.2,27.8,999.4,76,4,5.2,11.1,34.4
30.2,34.8,25.4,999.4,77,4,6.1,11.1,31.94
31.8,34.9,29.1,1002.1,76,4,4.8,7.6,32.84
31.6,35.6,27,1001.9,75,4,7.6,16.5,20.12
30.3,32.7,27.6,1002.6,81,4,4.3,7.6,20.73
29,34.2,25.6,1002.6,81,4,3.5,5.4,12.9
29.3,32,25.1,1000.6,81,4,3.1,9.4,12.69
30.2,34.2,26.3,1000.1,76,3.7,1.9,3.5,21.28
27.8,30.9,26.9,1001.1,91,3.7,1.3,3.5,16.54
29.2,32.1,26.7,1003.5,86,4,1.5,5.4,11.69
30.7,34.6,26.9,1003.9,74,4,1.5,5.4,9.69
29.6,32.2,27.6,999.5,83,4,1.1,5.4,23.49
28.8,33.9,26.8,998.3,86,3.5,0.7,1.9,21.25
28.8,31.7,25.7,999,86,4,1.3,3.5,14.14
30.6,34.1,27.2,1003,75,4,2.4,5.4,11.03
30,33.7,27.7,1001.2,80,4,3.1,5.4,12.29
29.9,33.3,27.6,999.3,76,4,3.1,5.4,12.46
28.7,33.6,27.5,996.1,86,4,1.9,3.5,13.39
28.2,32.7,27.4,997.4,89,4,3,5.4,11.37
29.8,34.2,27.2,999.1,81,4,2.4,3.5,9.11
30.4,34.3,26.8,1001,79,4,3,5.4,18.7
30.1,31.6,28,1001.4,81,4,2,5.4,18.79
29.4,30.6,28.2,1002.3,85,4,0.4,1.9,17.09
27.6,29.9,24.9,1007.4,88,3.5,1.3,3.5,9.8
29.2,33.3,25.9,1007.8,79,4,0.7,1.9,11.77
28.8,33.8,27.3,1007,86,4,1.3,3.5,10.8
30.3,33,28.6,1002.1,83,4,1.3,3.5,16.49
30.5,34.5,27.4,1002.2,78,4,0.9,1.9,22.74
29.3,34.3,27.3,1001.9,85,3.2,0.2,1.9,27.75
28.8,32.2,27,1003.2,86,3.5,0.9,3.5,17.93
29.8,33.6,26.7,997.7,79,4,3.1,9.4,5.78
28.9,31.7,27.2,996.7,82,3.7,5.9,14.8,4.41
27.5,30.7,25.8,995.6,88,3.5,5.7,11.1,6.39
29.6,34,26.6,996.9,79,4,4.6,7.6,21.8
27.2,29.4,25.8,999.6,90,3.1,6.7,9.4,9.55
28.4,29.9,25.2,1005.2,87,4,1.9,3.5,14.62
27.6,30.6,26.6,996.3,89,2.6,8.9,11.1,16.54
27.5,30.6,25.5,1000.4,92,4,4.1,7.6,11.96
29.7,32.9,26.5,1001,84,3.7,2.4,5.4,20.27
29.5,33.2,26.1,1003.8,80,4,1.9,3.5,22.43
30.5,34.5,26.6,1002.7,76,4,1.9,3.5,23.28
29.9,34.5,27.6,1002.9,84,4,1.1,3.5,25.48
31.3,35.6,28.2,1006.8,76,4,3.9,5.4,13.37
31.4,35.6,29,1006.7,76,4,3.3,5.4,11.86
31.7,35.4,28.5,1007.1,74,4,3.5,5.4,16.45
29.5,34.5,24.9,1004.5,81,4,2.4,5.4,10.17
31.3,35.2,27.5,1006.3,75,3.7,1.5,7.6,26.07
30.8,35,27.6,1007,74,4,2.2,5.4,8.86
30.7,34.7,26.6,1006.1,76,4,1.9,3.5,16.86
26.6,28.2,24.7,1005.6,95,3.7,2,5.4,11.93
28.1,29.6,25.9,1006.9,88,4,3.1,5.4,15.4
28.3,30.8,26.2,1005.3,89,3.7,0.7,3.5,23.5
28.4,31.9,26.6,1003,85,3.7,3.7,7.6,14.95
28.2,29.6,26.5,1002.9,89,4,3.7,7.6,9.63
29.4,32.6,26.8,1005.3,81,4,3,5.4,12.78
30.2,33.7,26.8,1006.7,73,4,0.7,1.9,19.19
29.3,33.8,26.8,1006.9,80,4,1.1,3.5,18.81
29.4,33.6,27.1,1005.5,82,4,0.2,1.9,26.37
