T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
18.7,24.2,13.7,1015.9,65,3.2,2,5.4,118.81
18.2,24.4,13.4,1015.5,62,2.6,1.5,3.5,151.04
19.2,25.6,13.1,1014,67,2.7,0.9,3.5,169.84
23.6,29.8,18.5,1011.4,68,2.7,0.4,3.5,142.71
22.6,28.6,18.6,1011.9,70,2.4,2.2,7.6,111.12
23.7,28,19.1,1011.7,67,3.2,1.7,7.6,85.12
19.7,22.8,16.6,1014.6,67,1.9,4.6,7.6,85.09
19.9,24.2,16.4,1013.9,65,1.8,1.9,5.4,88.02
18.9,23.8,14.5,1012.4,68,2.3,1.1,1.9,98.2
20.7,25.6,13.8,1011.9,79,1.4,2.8,5.4,126.32
22.3,26.8,19.2,1011.4,80,1.6,2.6,7.6,93.31
20.6,26,15,1012.8,60,2.6,1.3,3.5,104.08
21.5,25.8,16.6,1014.8,73,2.4,1.3,3.5,110.66
18.3,22.6,15.6,1014.9,78,1.8,3.3,5.4,102.66
17.8,22.8,14.1,1015.6,66,1.9,4.3,9.4,100.94
16.9,22,12.1,1017.3,64,2.6,2,7.6,111.09
16.8,22.6,11.4,1018,62,2.7,1.5,5.4,100.27
17.7,24.2,11.5,1017.4,59,3.1,0.7,3.5,114.5
18.1,24.6,11.8,1016.3,63,1.8,2,7.6,148.24
19.8,24.6,16,1015.5,67,2.6,4.8,11.1,48.62
19.8,25.4,15.1,1015.3,61,3.1,3.3,9.4,72.38
19.3,25.6,13.2,1014.3,64,2.6,1.3,3.5,109.48
24.2,29.8,20.6,1011.8,65,2.6,2.2,9.4,66.35
24.5,30.2,18.8,1012.2,64,2.4,1.1,5.4,85.28
22.5,27.2,19.5,1013.7,73,1.6,2.8,7.6,107.33
24.2,30.2,18,1013.9,59,2.6,2,7.6,110.2
25.2,30.8,18.6,1011.6,62,2.3,2.2,9.4,91.77
25.6,31.4,21,1010,64,2.9,2.8,7.6,81.86
28.7,35.2,22.6,1008.5,57,2.7,4.1,5.4,53.8
28.6,34.8,24,1011.4,62,2.7,3.9,7.6,51.85
28.2,32.8,23.1,1011.6,68,3.1,3.9,7.6,63.54
26.6,31.6,22.6,1011.6,48,2.7,3.1,9.4,56.57
28.4,34,22.3,1011.4,60,3.1,1.9,3.5,64.94
28.2,33.4,25,1012.1,70,2.6,4.8,7.6,54.5
27.6,32.6,23.6,1011.3,76,3.7,4.8,7.6,31.3
25.7,30.8,22.4,1013.9,69,3.5,4.4,14.8,59.37
26.6,32.2,19.9,1011.6,59,4,1.5,5.4,55.27
28.4,34.2,22.3,1010.6,58,4,3.5,5.4,53.99
29.7,35.8,23.3,1008.5,46,4,2.6,7.6,86.59
30.6,36.2,24.1,1006.9,48,3.5,1.5,5.4,97
30.7,36.6,25.3,1007.9,54,3.2,2.8,5.4,77.6
31.1,37.4,25.5,1009.2,39,4,2.4,5.4,54.91
30.6,36.2,25.1,1009.2,41,4,1.1,1.9,72.26
30.5,35.8,24.2,1008.2,51,4,3.3,9.4,68.4
32,39,26.8,998.4,62,3.7,6.3,9.4,59.44
31.6,38.6,25.2,1002.1,56,3.5,4.1,5.4,58.05
30.7,35.6,26.9,1005.2,63,4,5.2,9.4,48.02
30.9,36,26.6,1007.2,63,4,3,7.6,40.19
29.3,33,26,1008.7,71,4,7.8,11.1,31.32
29.6,33.4,26.8,1007.5,73,4,8,11.1,32.14
29.9,33.8,26.3,1008.9,74,4,6.5,11.1,35.53
31.1,36.8,26.6,1009.4,65,4,5.4,9.4,28.56
31.3,37.4,26.5,1007.9,68,4,6.7,9.4,29.49
31,35.6,27,1006.8,66,4,6.3,9.4,33.39
31.2,38.2,25.1,1006.5,57,4,6.5,11.1,25.55
31.5,36.2,27.1,1006.5,69,4,8.1,11.1,27.25
30.1,35.2,23.6,1007.8,74,4,7.8,11.1,23.23
32.8,39.4,27.4,1006.2,57,4,4.1,7.6,38.89
32.2,38.2,27.5,1005.7,61,4,7.6,11.1,37.51
31.8,38.2,27.5,1006.8,70,4,5.6,7.6,33.73
31.1,35.6,25.5,1008.2,56,4,4.1,9.4,28.7
29.2,35.6,24.8,1008,67,4,7.8,9.4,28.01
28.8,34.6,23.2,1007.3,64,4,5.4,9.4,28.88
29.3,35.4,24.5,1010.1,69,4,5,11.1,17.2
30.9,34.4,26.3,1008.6,66,4,4.6,7.6,20.23
27.2,35,24,1007.2,82,3.7,6.3,18.3,16.5
27.6,31.4,22.1,1004,78,4,2,5.4,22.68
30.4,34.8,24.5,1003.4,73,4,3.7,7.6,25.61
32,35.8,27.8,1005,74,4,8.7,11.1,21.58
31.9,36.6,25.6,1004.5,74,4,8,11.1,15.65
32.3,36,28.9,1004.7,71,4,5,9.4,12.14
32.4,36.2,28.9,1004.2,68,4,4.6,7.6,11.25
27.7,30.4,25.5,995.6,88,4,11.1,14.8,12.36
28.2,30,25.2,992.3,86,4,13.1,18.3,15.07
27.3,28.4,25.7,999,93,3.7,7.2,11.1,16.77
27.6,29.6,25.4,1002,89,4,3.1,3.5,16.99
30.9,35.4,26.8,1002.9,78,4,7.4,11.1,24.51
29.9,33,26.2,1005.3,80,4,5.6,9.4,16.9
31.8,35,28.1,1006.1,75,4,6.7,11.1,18.65
29.7,36.6,25.4,1002.3,79,4,5.7,9.4,19.66
30.6,34.8,26.4,1001,76,4,7.8,11.1,14.67
29.9,32.6,25.8,1000.1,79,4,2.4,5.4,23.77
29.7,33.4,27.8,997.2,83,4,2,7.6,15.99
29,30,27.3,995.6,89,4,2,3.5,21.45
27.6,29,26,995.5,94,4,2,5.4,19.55
25.5,26.8,24.8,1002.8,96,2.6,1.9,5.4,16.18
27,29.4,24.6,1002.8,94,3.2,1.1,5.4,20.91
28.2,31.2,24.9,1002.2,88,4,2.8,7.6,25.55
30.6,33.8,28,1000.4,77,4,6.1,9.4,26.98
30.1,33.5,28.3,1003.2,84,4,3.1,5.4,19.68
29.1,31.6,27.6,1005.8,86,4,2.8,5.4,15.51
27.2,31.2,25,999.9,91,4,6.3,9.4,17.44
29.5,32.8,24.6,1001.5,86,4,5.2,9.4,19.33
29.7,31.8,27.1,1002.1,86,4,3,9.4,19.76
28.9,33.8,25.8,1001.1,88,2.3,5,9.4,32.26
28,30.4,25.6,1001.4,92,3.4,2.4,5.4,17.89
30.3,32.8,27,1000.7,82,4,2.4,5.4,23.09
29.4,33,27.6,1003.6,83,4,3.7,9.4,12.29
29.9,32.4,27.3,1004.2,80,4,6.9,11.1,10.09
31.2,33.8,27.3,1005.1,75,4,3.3,7.6,13.43
30.5,34.4,27.2,1000.3,83,4,3.7,7.6,16.16
29.1,30.6,27.1,999.9,86,4,0.2,1.9,26.04
30.3,32.6,27.6,997.1,82,4,3.1,7.6,30.09
29.5,32.8,26.6,999.3,87,4,1.5,3.5,22.37
29.9,33.2,27.6,997,87,4,1.9,5.4,30.41
28.7,31,26.8,995,89,4,4.3,7.6,27.4
28.8,30.4,26.2,1000.1,86,3.7,2.8,3.5,14.95
30.4,33.6,27.1,999.4,79,4,3.5,5.4,19.9
30.4,32.6,28.4,1000.2,81,4,1.9,9.4,25.99
28.6,31,25.7,1000.7,90,2.3,2.2,3.5,29.04
28.8,30.4,27.6,1002.9,90,4,1.9,5.4,25.4
28.3,30.6,25.7,1004.9,91,4,2.4,5.4,20.14
30.3,33.2,27.3,1004.5,87,3.7,5.7,9.4,23.61
29.9,32.6,27.3,1002.4,88,4,2.2,3.5,27.4
29.8,34.2,28.1,1001.1,87,4,3.1,3.5,29.02
31,33.6,27.7,1002.3,81,4,1.9,3.5,16.25
27.6,29,25.5,1004,93,4,3.5,7.6,9.49
