T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
17.6,24.8,12.5,1019,66,3.1,2.6,7.6,177.49
18.3,24.6,12.6,1018.6,64,3.5,1.9,5.4,155.74
18.2,24.8,12.6,1019.2,63,3.2,1.1,3.5,201.3
19.3,26,12.5,1014.2,63,3.2,2.6,9.4,132.88
19.2,25,13.8,1014.2,65,3.2,3.5,9.4,162.02
18.9,24.2,14.1,1015.6,68,3.7,1.3,3.5,177.18
19,25.4,13.1,1016.2,65,3.5,1.1,5.4,187.31
19.9,25.8,14.1,1015,67,3.1,0.4,1.9,273.94
18.7,24,14.6,1016.9,59,3.7,3.5,9.4,212.87
18.4,25,12.5,1016.2,62,3.7,1.9,3.5,205.36
19.1,25,13,1016.1,66,3.1,1.3,5.4,189.44
19.6,27.6,13.7,1015.8,63,3.1,1.5,5.4,208.46
22.1,28.2,16.1,1016.8,63,3.7,2.6,7.6,121.89
22.7,28.4,16.8,1016.9,62,4,3.9,9.4,102.23
22.6,26.4,18.6,1017.1,63,4,3.9,7.6,89.58
19.1,25.2,12.5,1017.4,62,4,2.2,7.6,132.67
19.8,26.6,13.5,1015.7,62,3.7,0.9,3.5,136.72
20.9,27.6,14.1,1015,59,3.7,1.1,3.5,155.57
21.3,28.2,14.7,1017.4,55,4,1.9,7.6,137.33
23.1,29.4,16.4,1014.5,62,4,2.4,5.4,145.88
24.7,30.2,17.7,1014.4,60,4,3.3,7.6,104.72
22.4,27.1,18.8,1015.6,69,4,3.7,7.6,83.96
21.5,28,15.6,1017.8,57,4,2.8,7.6,114.96
22.7,30.5,15.8,1015.4,57,4,1.9,5.4,163.78
23.9,30.2,16.8,1015.1,59,4,1.5,3.5,149.02
24.8,30.6,17.1,1013.6,63,4,5,7.6,100.09
25.9,31.6,21.9,1016.2,60,4,2.8,7.6,71.52
25.8,32,20.1,1015.8,59,4,3.1,7.6,105.63
20.8,23.6,16.8,1011.1,88,4,8.5,31.7,52.2
21.3,25,20,1011,91,3.7,4.4,7.6,33.51
21.9,27,17.1,1010.2,88,4,5.9,9.4,18.33
20.8,25.4,17,1015.1,60,4,3.9,11.1,45.26
21.3,27,15.5,1014.3,55,4,2,7.6,64.28
23.2,28,16,1010.8,62,4,2.4,5.4,86.72
24,28.4,20,1011.2,57,4,3.7,7.6,70.82
24.4,29.8,18.6,1012.5,53,4,3.3,5.4,66.18
25.9,31.4,19.1,1012.3,49,4,3.3,5.4,62.47
28.9,34,25.1,1012.8,74,4,3,3.5,63.98
29,34.8,23.8,1013.6,60,4,4.3,7.6,84.75
27,32.6,23,1014.1,67,4,2.4,5.4,78.3
27.7,31.8,22.8,1009.9,64,4,5.7,9.4,49.29
28.1,32.4,24.1,1010.4,73,4,4.6,7.6,48.08
29.5,34.4,23.9,1010.8,61,4,5.7,9.4,42.45
28.8,35.2,21.5,1010.4,53,4,3.3,7.6,77.21
28.1,34.2,23.6,1012.3,53,4,9.1,18.3,59.28
27.8,32.6,22.1,1013.3,58,4,3.3,7.6,46.45
29.8,33.2,26.2,1006.8,77,4,8.3,13,41.12
28.5,31.8,24.1,1009.3,73,4,7.2,14.8,20.79
29.6,33.4,25.6,1008,77,4,5.4,11.1,34.95
29.9,34.8,26.1,1009.5,74,4,7.4,11.1,31.28
27.4,32.2,20.1,1009,67,4,5.2,11.1,27.37
28.4,31.6,24.6,1007.4,63,4,6.1,11.1,26.21
27.4,32.6,21,1007.9,72,3.7,7.4,14.8,26.89
30,35.6,26.6,1008.1,67,4,6.7,11.1,32.45
30.5,34.8,26,1006.9,76,4,7.4,9.4,32.25
30.7,35.2,27.4,1006.6,79,4,6.5,7.6,28.75
28.6,31.6,25,1008.4,58,4,5.2,9.4,45.5
30.2,35.8,24.4,1006.3,55,4,4.6,7.6,37.29
29,36.4,22.6,1006,68,4,5.4,11.1,29.88
31.3,35.6,27.3,1007.5,68,4,6.1,9.4,23.12
31.1,35.2,27.7,1005.5,72,4,6.5,9.4,32.31
32.1,36.4,28.1,1004.4,74,4,7.4,9.4,35.59
31.4,34.6,28,1005.3,71,4,9.6,14.8,13.53
31.1,34,28.5,1005.2,74,4,6.5,9.4,13.16
26.8,30,25,1002.7,89,3.5,9.8,14.8,16.05
31.2,36.2,25,1003.2,77,3.7,8,9.4,53.28
31.9,36.4,28.1,1001.9,79,4,8.3,13,59.71
32.2,36.5,28.6,1001.4,80,4,8,9.4,58.08
30.5,35.8,23.7,1004.7,77,4,6.7,11.1,42.09
29.8,35,23.6,1005.3,70,4,5,11.1,32.18
31.7,35.2,25.9,1005.8,69,4,6.9,9.4,36.49
31.3,34.6,26.7,1005.1,74,4,9.3,14.8,30.04
31.4,34.8,26.8,1003,73,4,8,11.1,27.54
29.6,32.8,25,1002.4,84,4,6.3,11.1,23.5
32.3,36.8,28.8,1002.3,75,4,6.3,9.4,38.28
31.9,35.2,28.7,1001.9,78,4,8.9,14.8,35.13
30.9,34.2,27.5,1002.9,76,4,8.1,14.8,28.96
31.8,36,26.9,1003.4,75,4,7.4,11.1,30.82
29.1,34.4,26.2,1003.7,81,4,8,11.1,27.43
30.6,35,25.7,1003.5,73,4,5.7,11.1,28
29.2,30.6,27.5,1004.1,83,4,4.6,9.4,15.98
31.1,34,27.2,1002.5,76,4,5,7.6,13.71
32.1,35.6,28.6,1000.9,77,4,7.4,11.1,23.56
31.3,35.8,24.7,999,76,4,3.7,7.6,35.61
32.3,38.4,27.4,997.9,75,4,4.8,11.1,39.67
30.8,32.4,26.7,998.5,82,4,8.1,14.8,40.77
31.5,37.2,26.4,999.6,82,4,4.6,16.5,45.88
31.5,35.2,26.7,1000.8,78,4,3.9,5.4,35.41
29.8,32,28.1,1000.6,86,4,6.5,9.4,18.28
32,35.4,28.6,1003.9,76,4,8.9,14.8,15.62
31.9,35,28.7,1001.7,75,4,9.1,11.1,16.13
31.7,34.6,29.1,999.6,78,4,9.1,14.8,17.49
29.3,32.2,27.3,995.6,85,4,8.1,11.1,17.36
28.9,31.4,27.1,997.3,87,4,5,7.6,14.34
29.6,32.8,26.5,998.8,85,4,5.4,7.6,15.44
29.7,31.8,27.4,996.9,80,4,7.2,9.4,13.27
30.4,33.8,28.2,998.5,79,4,8.1,11.1,20.54
30.9,34.2,28.7,999.1,79,4,7.6,14.8,22.99
31.7,35,28.1,1001.8,77,4,7.8,14.8,31.38
32.2,36.4,28.6,1000,74,4,7.2,9.4,33.63
32.5,36.6,29.3,999.8,71,4,6.9,11.1,40.72
31.7,35.4,28.6,1002.1,70,4,6.3,9.4,14.47
31.3,33.6,28.4,1003.5,74,4,7.2,11.1,19.59
31.2,35.2,27.6,1003.6,77,4,6.5,11.1,19.59
30.2,33.2,27.3,1001,80,4,3.9,11.1,32.92
28.4,30.8,26.8,998.8,89,4,2.2,7.6,27.03
28.9,31.6,26.4,998.4,86,4,2.2,7.6,22.39
29.7,32.8,27.1,1001,82,4,6.1,11.1,19.89
29.9,32,26.6,999.9,79,4,6.1,11.1,20.43
29.4,32.4,27.4,998.5,85,4,3.7,9.4,15.87
29.7,32,26.9,997.9,84,4,3.5,7.6,19.29
27.6,28.6,26.1,991.2,93,3.7,11.3,14.8,11.17
27.7,29.2,25.6,996.8,92,3.7,5.2,11.1,11.51
29.8,32.4,26.5,1000.4,83,4,3.3,7.6,21.15
27.9,29.6,25.5,999.5,91,4,4.3,7.6,15.04
29,31.6,26.2,1003.4,89,3.7,5.2,7.6,30.61
28.1,29.6,25.6,1004.6,94,4,3.9,5.4,26.27
29.7,33,25.8,1004.8,82,4,5.7,11.1,19.23
30,32.8,27.4,1003.3,84,4,4.3,7.6,27.15
30.8,34.8,27.6,1002.2,79,4,1.3,3.5,29.64
27.9,29.4,26.2,1001.7,93,3.7,3.9,7.6,14.27
28,30.2,26.5,1001.5,90,4,5,9.4,14.67
29.2,32.2,26.6,1001.4,86,4,3,9.4,18.71
30.8,34,27.2,1000.6,78,4,2.6,7.6,16.63
29.3,33,26.8,1001.1,88,3.7,2.8,5.4,33.32
29.5,33.2,26.2,1000.3,83,4,2.8,5.4,17.72
28.8,31,26.2,999.4,88,4,3.5,9.4,11.79
28.3,30,27.2,999.3,92,3.7,5.7,9.4,13.86
28.5,30.6,26.9,1001.2,92,3.7,4.1,5.4,14.45
