T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
31.3,34.4,28.1,1001.8,74.0,4.0,8.3,14.8,27.88
30.2,33.6,26.4,1000.9,78.0,3.4,5.6,7.6,29.19
29.0,30.2,28.2,1000.0,91.0,4.0,4.6,7.6,28.69
30.5,34.8,26.8,997.6,77.0,4.0,4.6,9.4,18.02
30.4,32.4,27.6,997.1,79.0,4.0,7.0,9.4,9.96
29.1,31.0,27.7,998.6,90.0,4.0,3.1,9.4,15.83
29.5,32.6,27.6,997.3,85.0,4.0,3.9,11.1,13.28
29.5,32.4,27.7,996.1,83.0,4.0,5.7,9.4,12.17
29.7,31.4,27.3,995.4,83.0,3.7,5.6,7.6,7.79
32.3,35.8,27.7,996.8,74.0,4.0,1.3,5.4,17.13
31.1,34.2,28.2,994.9,77.0,4.0,7.2,11.1,16.95
28.2,29.4,26.9,993.6,92.0,3.7,9.1,14.8,6.09
28.7,31.0,27.6,1000.5,91.0,4.0,2.6,7.6,31.69
27.2,27.6,26.4,1000.6,95.0,3.7,3.0,5.4,24.5
28.0,30.8,26.3,999.9,90.0,3.7,3.1,5.4,27.63
27.8,30.9,26.0,998.5,88.0,3.5,3.7,7.6,36.52
26.3,27.0,24.6,999.7,94.0,3.5,4.1,9.4,24.96
27.6,29.2,24.9,1001.2,85.0,3.7,6.1,11.1,33.63
28.8,33.0,26.7,1000.2,84.0,3.5,3.0,5.4,41.72
28.6,30.8,26.7,997.5,86.0,4.0,5.9,9.4,15.1
28.8,30.8,26.0,1000.7,83.0,4.0,4.6,9.4,17.66
29.6,32.0,26.9,1002.4,82.0,4.0,1.9,5.4,17.82
29.6,31.8,27.5,997.3,84.0,4.0,2.2,5.4,13.19
29.3,31.6,27.1,996.7,85.0,4.0,4.1,7.6,11.38
29.3,31.6,27.8,999.0,86.0,4.0,5.2,7.6,6.61
28.4,30.2,27.3,997.2,91.0,4.0,2.8,7.6,26.45
29.0,31.4,26.6,999.0,84.0,4.0,5.7,7.6,11.74
29.5,31.6,27.0,1000.1,85.0,4.0,4.8,9.4,8.82
29.2,31.4,27.6,998.7,89.0,4.0,2.8,5.4,20.36
30.1,34.0,27.1,997.6,80.0,4.0,6.1,11.1,7.37
29.7,31.8,27.4,998.8,82.0,4.0,6.3,9.4,7.45
28.9,30.4,27.6,1001.4,88.0,4.0,2.2,3.5,33.07
28.8,32.4,26.8,1002.5,82.0,4.0,4.8,7.6,12.38
27.6,29.2,26.0,1002.7,93.0,4.0,2.2,3.5,18.67
29.7,33.0,26.3,1002.7,82.0,4.0,3.0,5.4,34.52
28.9,32.6,24.7,1003.9,82.0,4.0,6.7,11.1,15.01
29.9,32.8,26.7,1005.6,79.0,4.0,4.1,5.4,20.11
29.8,32.8,26.6,1007.2,75.0,4.0,4.3,7.6,19.75
30.7,33.0,28.1,1005.0,78.0,3.7,4.3,5.4,56.73
29.3,33.6,25.8,1006.3,84.0,4.0,0.7,3.5,56.33
29.1,34.4,26.7,1006.7,82.0,4.0,2.8,7.6,57.77
26.1,27.0,24.6,1009.1,91.0,4.0,6.1,9.4,7.95
28.6,32.4,25.5,1012.1,82.0,4.0,3.1,5.4,16.02
30.1,33.6,25.8,1011.4,73.0,4.0,3.3,5.4,19.69
30.1,33.4,27.1,1008.5,82.0,4.0,3.1,5.4,63.63
30.7,35.8,27.5,1008.3,77.0,4.0,2.0,3.5,61.12
30.9,35.5,27.7,1008.2,68.0,4.8,2.6,7.6,66.84
30.8,35.4,26.9,1008.9,62.0,4.0,3.1,5.4,71.46
31.3,36.4,27.3,1009.1,67.0,4.0,4.8,7.6,61.37
31.1,36.5,28.2,1009.1,63.0,4.0,3.1,7.6,61.93
29.7,34.4,25.6,1009.9,64.0,4.0,1.3,5.4,100.58
29.8,35.5,24.6,1009.0,63.0,4.0,1.5,7.6,98.29
28.9,33.2,26.0,1008.7,71.0,4.0,5.2,9.4,48.14
25.0,29.2,22.7,1009.5,90.0,3.7,6.5,9.4,22.46
26.6,31.5,23.0,1011.5,80.0,3.7,2.2,3.5,37.28
28.0,32.4,23.8,1012.5,74.0,3.7,2.4,3.5,47.34
28.8,34.9,24.8,1011.4,68.0,4.0,1.3,3.5,83.88
28.9,34.8,24.3,1012.4,69.0,3.7,1.3,5.4,99.59
28.2,34.3,23.6,1012.4,63.0,4.0,2.0,7.6,97.27
26.1,34.1,20.9,1014.4,55.0,4.0,1.1,3.5,93.5
25.3,32.1,21.4,1014.3,60.0,4.0,0.6,3.5,123.05
25.8,32.1,20.0,1014.2,65.0,4.0,1.1,3.5,105.31
26.3,30.2,22.4,1013.0,75.0,4.0,2.8,7.6,9.55
27.2,30.4,22.6,1012.8,74.0,4.0,2.0,7.6,23.12
26.8,30.4,23.4,1012.8,79.0,4.0,1.5,3.5,31.95
27.8,32.0,23.6,1013.5,74.0,4.0,3.1,5.4,41.91
24.1,25.8,21.6,1014.3,86.0,2.7,0.7,3.5,196.9
24.6,29.6,20.2,1013.0,71.0,3.7,1.1,3.5,297.54
23.8,28.8,19.0,1012.1,71.0,4.0,1.1,3.5,145.31
24.6,29.6,19.1,1010.6,68.0,3.7,2.0,5.4,156.97
25.3,29.8,20.2,1011.7,73.0,3.7,1.5,3.5,149.99
26.2,31.2,21.1,1012.6,67.0,3.7,3.9,5.4,125.19
22.6,27.6,17.5,1014.8,72.0,3.5,1.1,5.4,217.11
22.9,27.6,18.9,1014.2,69.0,3.7,1.1,3.5,144.71
23.3,28.4,18.6,1016.1,66.0,4.0,1.5,5.4,79.16
23.3,28.0,19.0,1014.3,62.0,4.0,1.3,3.5,130.83
22.1,28.1,17.1,1013.6,65.0,4.0,2.2,7.6,113.02
21.7,27.2,16.7,1015.3,64.0,3.5,1.3,5.4,141.83
20.4,27.1,15.5,1013.6,68.0,3.5,1.1,3.5,242.28
19.7,25.2,14.9,1014.9,64.0,3.7,1.5,5.4,247.43
19.5,25.4,13.7,1013.9,64.0,4.0,1.3,3.5,197.6
22.6,28.2,16.2,1016.4,61.0,4.0,1.5,5.4,105.65
22.3,27.6,18.0,1017.2,61.0,4.0,3.3,7.6,108.97
21.8,25.8,17.6,1018.5,55.0,4.0,3.1,5.4,99.61
18.3,22.8,14.1,1017.4,79.0,3.7,3.7,7.6,54.26
18.3,23.0,13.9,1016.4,76.0,3.5,3.1,13.0,91.95
17.9,23.4,13.6,1015.7,70.0,3.2,1.9,7.6,158.33
17.9,24.2,12.9,1014.7,63.0,4.0,1.5,3.5,179.25
17.2,24.1,12.0,1014.5,58.0,3.2,2.0,5.4,182.25
16.9,23.4,11.5,1014.0,59.0,3.2,1.9,7.6,237.9
17.6,23.6,12.2,1018.6,63.0,3.2,4.4,9.4,139.22
17.6,24.8,12.5,1019.0,66.0,3.1,2.6,7.6,177.49
18.3,24.6,12.6,1018.6,64.0,3.5,1.9,5.4,155.74
18.2,24.8,12.6,1019.2,63.0,3.2,1.1,3.5,201.3
19.3,26.0,12.5,1014.2,63.0,3.2,2.6,9.4,132.88
19.2,25.0,13.8,1014.2,65.0,3.2,3.5,9.4,162.02
18.9,24.2,14.1,1015.6,68.0,3.7,1.3,3.5,177.18
19.0,25.4,13.1,1016.2,65.0,3.5,1.1,5.4,187.31
19.9,25.8,14.1,1015.0,67.0,3.1,0.4,1.9,273.94
18.7,24.0,14.6,1016.9,59.0,3.7,3.5,9.4,212.87
18.4,25.0,12.5,1016.2,62.0,3.7,1.9,3.5,205.36
19.1,25.0,13.0,1016.1,66.0,3.1,1.3,5.4,189.44
19.6,27.6,13.7,1015.8,63.0,3.1,1.5,5.4,208.46
22.1,28.2,16.1,1016.8,63.0,3.7,2.6,7.6,121.89
22.7,28.4,16.8,1016.9,62.0,4.0,3.9,9.4,102.23
22.6,26.4,18.6,1017.1,63.0,4.0,3.9,7.6,89.58
19.1,25.2,12.5,1017.4,62.0,4.0,2.2,7.6,132.67
19.8,26.6,13.5,1015.7,62.0,3.7,0.9,3.5,136.72
20.9,27.6,14.1,1015.0,59.0,3.7,1.1,3.5,155.57
21.3,28.2,14.7,1017.4,55.0,4.0,1.9,7.6,137.33
23.1,29.4,16.4,1014.5,62.0,4.0,2.4,5.4,145.88
24.7,30.2,17.7,1014.4,60.0,4.0,3.3,7.6,104.72
22.4,27.1,18.8,1015.6,69.0,4.0,3.7,7.6,83.96
21.5,28.0,15.6,1017.8,57.0,4.0,2.8,7.6,114.96
22.7,30.5,15.8,1015.4,57.0,4.0,1.9,5.4,163.78
23.9,30.2,16.8,1015.1,59.0,4.0,1.5,3.5,149.02
24.8,30.6,17.1,1013.6,63.0,4.0,5.0,7.6,100.09
25.9,31.6,21.9,1016.2,60.0,4.0,2.8,7.6,71.52
25.8,32.0,20.1,1015.8,59.0,4.0,3.1,7.6,105.63
20.8,23.6,16.8,1011.1,88.0,4.0,8.5,31.7,52.2
21.3,25.0,20.0,1011.0,91.0,3.7,4.4,7.6,33.51
21.9,27.0,17.1,1010.2,88.0,4.0,5.9,9.4,18.33
20.8,25.4,17.0,1015.1,60.0,4.0,3.9,11.1,45.26
21.3,27.0,15.5,1014.3,55.0,4.0,2.0,7.6,64.28
23.2,28.0,16.0,1010.8,62.0,4.0,2.4,5.4,86.72
24.0,28.4,20.0,1011.2,57.0,4.0,3.7,7.6,70.82
24.4,29.8,18.6,1012.5,53.0,4.0,3.3,5.4,66.18
25.9,31.4,19.1,1012.3,49.0,4.0,3.3,5.4,62.47
28.9,34.0,25.1,1012.8,74.0,4.0,3.0,3.5,63.98
29.0,34.8,23.8,1013.6,60.0,4.0,4.3,7.6,84.75
27.0,32.6,23.0,1014.1,67.0,4.0,2.4,5.4,78.3
27.7,31.8,22.8,1009.9,64.0,4.0,5.7,9.4,49.29
28.1,32.4,24.1,1010.4,73.0,4.0,4.6,7.6,48.08
29.5,34.4,23.9,1010.8,61.0,4.0,5.7,9.4,42.45
28.8,35.2,21.5,1010.4,53.0,4.0,3.3,7.6,77.21
28.1,34.2,23.6,1012.3,53.0,4.0,9.1,18.3,59.28
27.8,32.6,22.1,1013.3,58.0,4.0,3.3,7.6,46.45
29.8,33.2,26.2,1006.8,77.0,4.0,8.3,13.0,41.12
28.5,31.8,24.1,1009.3,73.0,4.0,7.2,14.8,20.79
29.6,33.4,25.6,1008.0,77.0,4.0,5.4,11.1,34.95
29.9,34.8,26.1,1009.5,74.0,4.0,7.4,11.1,31.28
