T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
18.7,24.2,12.1,1019.5,76,2.3,1.5,3.5,134
20.3,25,15.3,1019.6,75,1.9,2.8,5.4,121.78
17.5,17.8,15.8,1017.4,98,1.9,3.3,9.4,55.62
16.7,21.6,12.2,1016.9,81,1.1,2.6,9.4,105.04
18.6,23.4,13.3,1015.4,76,1.6,1.5,7.6,124.97
18.7,22.4,15.5,1015.5,83,1.3,1.5,3.5,88.78
17.7,22.2,11.7,1013.2,64,1.8,3.1,7.6,95.76
18.2,24.4,12.1,1013.9,66,1.8,1.1,3.5,171.67
19.6,25.8,13.5,1015.1,70,1.6,1.1,3.5,190.61
21.4,26.2,15.7,1015.2,72,2.4,4.3,9.4,90.63
18.4,22,15.4,1017.3,73,1.9,3.1,7.6,73.59
18.4,23.4,13.8,1019,70,1.9,2.2,5.4,95.62
17.4,22.7,12,1015.1,60,2.6,2.2,9.4,73.85
18.2,23.8,12.5,1013.4,65,2.6,1.9,7.6,126.39
18.1,23,12.7,1013.4,68,1.9,2.6,7.6,125.38
19.1,23.2,15.5,1014.8,71,1.9,2.8,9.4,79.91
18.9,24,13.5,1016.8,64,2.6,2.4,3.5,74.42
17.6,23,12.6,1018.3,56,2.7,2.2,5.4,53.58
19.9,22.8,16.3,1017.4,61,1.9,3.3,5.4,91.13
18.5,20.2,16.8,1018.7,72,1.9,2.4,5.4,124.25
19.7,25.2,15.4,1018.5,63,2.1,3.5,9.4,93.48
20.1,26,14.3,1013.6,56,2.1,1.9,5.4,106.35
22.1,28,15.2,1010.5,60,2.6,2.2,7.6,113.43
21.9,27.4,17.1,1013,54,2.7,3.1,11.1,65.68
23.7,28.6,18.7,1015.6,70,2.4,3.9,7.6,79.36
24.5,29,20.5,1016.3,65,3.1,4.1,7.6,54.13
23.7,29.4,18.8,1018.3,64,2.1,2,7.6,83.83
20.3,21.8,18.6,1013.9,84,1.9,3,5.4,77.84
22.8,26.8,17.8,1014,70,3.1,3.1,5.4,40.53
23.2,27.2,19.2,1014.2,67,3.1,2.4,3.5,44.97
24.7,30,19.1,1012.3,63,3.1,1.5,3.5,93.51
25.9,30.6,19.9,1011.6,64,3.1,2,5.4,98.42
24.7,30.4,20.2,1011,71,3.1,4.3,7.6,77.32
24.1,26.4,21,1013.8,82,3.7,3,3.5,30.91
24.8,30,20.6,1012.2,72,3.7,2.4,5.4,35.73
24.3,30,19.5,1011.9,59,3.5,2.6,7.6,54.52
28.6,33.2,22.2,1013.6,66,3.5,2,5.4,54.84
25.6,30.7,20.8,1013.9,60,4,7.2,11.1,44.12
25.5,30.8,19.2,1013.4,64,3.7,4.4,11.1,22.86
27.2,32.6,21.1,1011.7,52,3.7,3.7,11.1,74.15
26.9,32,22.5,1011,54,4,3.9,9.4,33.76
27.4,33.4,21.6,1011.8,62,3.5,5.7,11.1,36.7
28.7,33.8,23.1,1008.6,70,3.7,3.9,5.4,40.68
29.6,34.8,25,1010.1,56,4,3.9,9.4,28.77
30.5,36.2,24.5,1010.4,51,4,3.9,7.6,41.37
30.4,35.8,24.5,1009.8,48,4,2.2,5.4,34.9
30.5,36.8,26,1008.1,59,4,2.4,3.5,42.91
30.6,36.2,24.5,1007.3,68,4,3.9,9.4,35.89
31.3,36.2,26.6,1008.9,61,4,1.3,3.5,38.46
31.2,37.4,25.5,1007.8,56,4,3.3,7.6,38.89
30.1,35.2,25.9,1009.1,49,4,7,18.3,25.45
29.9,35,24.8,1010.1,53,4,2.8,5.4,21.51
30.6,35,26.5,1008.2,73,4,3.9,5.4,25.23
31.2,36.4,27.1,1009,73,4,2.4,3.5,27.02
29.2,35.2,24.2,1008.9,75,3.7,2.4,3.5,24.59
30.2,34.2,24.8,1008.2,67,4,7,9.4,13.21
29.4,33.8,23.6,1009.4,74,3.7,3.3,5.4,15.1
23.7,25.4,20.5,1009.9,79,4,2.4,5.4,11.45
28.7,32.8,23.6,1008,74,4,4.1,5.4,15.05
27.4,32.2,23.1,1010.3,75,4,3,5.4,16.31
27.1,29.8,24.2,1011.8,79,4,4.1,7.6,11.57
25.4,32.8,22.2,1008.6,83,3.5,3.7,9.4,10.14
26.8,30.8,21.1,1006.8,81,3.5,0.7,1.9,19.5
28.4,32.8,23,1007.3,77,4,2.2,5.4,18.65
28.8,34.6,24.4,1007.9,72,4,1.5,5.4,16.27
30.1,34.2,23.7,1006.9,72,4,3.3,7.6,15.58
32,37.2,27,1007.4,65,4,2.4,5.4,20.58
30.6,32,29.2,1004.2,79,4,13.7,16.5,17.75
30.4,31.8,28.7,1003.7,78,4,14.1,18.3,17.19
28.3,32.8,23,1003.9,82,3.2,7.8,14.8,6.84
29.7,34.4,25,1008.3,74,4,4.6,14.8,13.79
29.5,33.4,24.9,1008.1,79,4,6.9,13,13.55
29.9,35.4,26.1,1006.5,77,3.7,7.8,16.5,16.96
31.2,34.8,25.7,1005,74,4,7,11.1,15.94
29.8,35.6,26,1002,80,3.7,2.6,7.6,23.52
30.4,35.2,25.4,1001.5,81,4,3.5,7.6,24.1
31.8,35.8,27.7,1001.8,75,4,3.3,5.4,22.47
29.2,30.8,27.1,999.8,90,3.5,4.6,7.6,12.84
28.4,30,27,1001,93,4,4.1,7.6,11.13
29.4,31.8,26,1000.2,87,4,5,7.6,13.52
29.9,32.8,27.5,1001,85,4,4.8,7.6,18.49
29.3,31,27.8,1000.2,86,3.7,4.1,9.4,10.76
28.9,31.2,27.4,998.6,88,3.7,4.3,9.4,11.76
31.1,34.4,27.2,1004,73,4,8.9,13,16.93
30.6,34.2,26,1002.6,74,3.7,11.5,16.5,9.42
28.3,32.6,25,1002.4,86,3.7,6.5,13,8.67
